"Well","cells_per_ml_start","FSCH_start","cells_per_ml_end","FSCH_end","Hours","Temperature","Strain","MicroResp_start","MicroResp_end","ATP_start","ATP_end","OD_start","OD_end","Plate","growth_rate","cell_volume_start","cell_volume_end","cell_diameter_start","cell_diameter_end","mean_diameter_start","mean_diameter_end","mean_volume_start","mean_volume_end","biomass_start","biomass_end","biomass_increase","growth_rate_biomass","CO2_raw","CO2_respired","Resp_rate","C_respired","Resp_rate_per_cell","Resp_rate_per_biomass","ATP_per_ml_start","ATP_per_cell_start","ATP_per_biomass_start","ATP_per_ml_end","ATP_per_cell_end","ATP_per_biomass_end","ATP_per_cell_change","ATP_per_biomass_change","Phylum","Class","Order","Family","Genus","Species"
"H07",32700000,31255.7922018349,82600000,34772.92031477,3,35,"40_RT_02",0.84059375,0.699185455607477,34625,135480,0.01625,0.201,1,0.308878200874575,0.182444915430073,0.200983448572719,0.703684061053515,0.726753653692755,0.708013143941908,0.721445054608908,0.185832890906356,0.196611268200551,2.09285896870485,5.41872421248721,3.32586524378236,0.317109781256027,0.0637087125542066,0.0125982835975389,0.00419942786584628,4.72435634907707,2.92435007894449e-08,0.450451085242282,0.0634836131188349,1.94139489660045e-09,0.0303334405557778,0.330802648094305,4.0048746742652e-09,0.0610480687191988,8.85111173949326e-11,0.000332011242237751,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","bataviensis"
"A10",1e+05,10210,3e+05,24702.33,3,45,"40_RT_02",0.916191176470588,0.831872796593385,585,518,-0.01075,-0.003,1,0.366204096222703,0.09475878505718,0.151011004707724,0.565640226061889,0.660698506214905,NA,NA,NA,NA,NA,NA,NA,NA,0.0419052355458371,0.000463267196526236,0.000154422398842079,0.173725198697339,3.18094396900342e-07,NA,0.000455259060647264,4.55259060647264e-09,NA,0.000392951552806253,1.30983850935418e-09,NA,NA,NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","bataviensis"
"B10",7e+05,67916.5685714286,2e+05,11095.5,3,45,"40_RT_02",0.916191176470588,0.835999388595701,468,574,0.00025,0.003,1,-0.417587656165123,0.440678114274351,0.0977079061416392,0.944149904073094,0.571448409223292,NA,NA,NA,NA,NA,NA,NA,NA,0.0414573742310072,1.54058816963509e-05,5.13529389878364e-06,0.0057772056361316,4.82497952155226e-09,NA,0.000347534146641719,4.96477352345313e-10,NA,0.000444921497005691,2.22460748502845e-09,NA,NA,NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","bataviensis"
"C10",4e+05,10935.25,2e+05,14046,3,45,"40_RT_02",0.916191176470588,0.828502912055911,366,517,-0.00174999999999999,-0.005,1,-0.231049060186648,0.0971697297662186,0.10797497138302,0.570397295331011,0.590801367346069,NA,NA,NA,NA,NA,NA,NA,NA,0.042276231950965,0.000834263601654187,0.000278087867218062,0.31284885062032,3.6141716458149e-07,NA,0.000258114328180445,6.45285820451113e-10,NA,0.000392033840546555,1.96016920273277e-09,NA,NA,NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","bataviensis"
"D10",5e+05,14248,5e+05,84991,3,45,"40_RT_02",0.916191176470588,0.833170616790405,350,504,-0.00375,-0.001,1,0,0.108703052176444,0.616834904143236,0.592126328383453,1.05614473762923,NA,NA,NA,NA,NA,NA,NA,NA,0.0417636238044968,0.000321655455185949,0.000107218485061983,0.120620795694731,NA,NA,0.000244524474169735,4.8904894833947e-10,NA,0.000380137705587477,7.60275411174953e-10,NA,NA,NA,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","bataviensis"
"E03",17500000,138239.711428571,43600000,182058.71956422,4,15,"40_RT_05",0.928916666666667,0.782396821305842,58922,295084,0.13375,0.22325,2,0.22821406735638,1.45348917511428,2.54004059331035,1.40541438086564,1.69283259114555,1.42166803998049,1.87560767306462,1.50450357217537,3.45481363214316,2.79932163059723,10.037671865618,7.23835023502077,0.319242022109524,0.0548455841524377,0.0104776581426661,0.00261941453566653,3.9291218034998,3.43555888090162e-08,0.173290977769369,0.120791326471875,6.90236151267857e-09,0.0431502136630526,0.848465623079103,1.94602207128235e-08,0.0845281290759613,1.21968015729158e-08,0.0425947197565372,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"F03",8900000,150205.707752809,18800000,226583.801489362,4,15,"40_RT_05",0.928916666666667,0.819194778111445,29750,190208,0.06475,0.19625,2,0.186951398274452,1.7108589071893,4.0945177794677,1.48390190018788,1.98488208984425,1.42166803998049,1.87560767306462,1.50450357217537,3.45481363214316,1.42365500070373,4.32817043746831,2.90451543676458,0.277979353027596,0.049981569937515,0.00561364392774347,0.00140341098193587,2.1051164729038,3.97529765797929e-08,0.201472131212834,0.0528346985368849,5.93648298167246e-09,0.0371120099397452,0.498731526929726,2.6528272709028e-08,0.115229179195968,1.21968015729158e-08,0.0425947197565372,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"G03",5400000,119032.486666667,8300000,234343.576746988,4,15,"40_RT_05",0.928916666666667,0.840635251671947,15788,62402,0.03275,0.14725,2,0.107464140308081,1.09660018556638,4.41764916204842,1.279430101431,2.03578010902846,1.42166803998049,1.87560767306462,1.50450357217537,3.45481363214316,0.863790674584287,1.9108412037759,1.04705052919162,0.198492095061224,0.0474392356220169,0.00307130961224537,0.000767827403061342,1.15174110459201,4.26796095387793e-08,0.218338560026419,0.0245457220717262,4.5455040873567e-09,0.0284162850953898,0.129476274913508,1.55995511943986e-08,0.0677587832299501,1.21968015729158e-08,0.0425947197565372,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"H03",2700000,155392.896666667,4600000,196710.372173913,4,15,"40_RT_05",0.928916666666667,0.852824556737589,8644,24251,0.01275,0.11025,2,0.133201132621191,1.83126093491349,2.99766406933921,1.51792577743745,1.78893590224023,1.42166803998049,1.87560767306462,1.50450357217537,3.45481363214316,0.431895337292143,1.05902042618905,0.627125088896911,0.224229087374335,0.0460791613273691,0.00171123531759759,0.000427808829399396,0.641713244099095,4.49878583852729e-08,0.229445094173257,0.0118419945653615,4.38592391309685e-09,0.0274186673086293,0.0412593971830015,8.96943417021771e-09,0.0389599635310867,1.21968015729158e-08,0.0425947197565372,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
"E02",9900000,147205.572525253,2.1e+07,179560.347857143,3,19,"40_RT_05",0.965916666666667,0.8076977586788,26014,64098,0.0515,0.11225,2,0.250662560194293,1.64369270817667,2.46698629901931,1.46422337403247,1.67644523882486,1.42119819979117,1.60237359658354,1.50301241677847,2.15421954973482,1.58292857519473,3.93112467830139,2.34819610310666,0.303216300882098,0.0505309225672517,0.0106004055196617,0.0035334685065539,3.97515206987313,8.97677292789227e-08,0.513300786282754,0.0449159546270627,4.53696511384472e-09,0.0283752250928551,0.133746313218197,6.36887205800937e-09,0.0340224043150897,2.43480530355516e-09,0.00934107426074906,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium"
